variety;year;price
Carignan-Grenache         ;2009;20.0
Carignan-Grenache         ;2010;32.5
Carignan-Grenache         ;2012;17.0
Carignan-Grenache         ;2013;33.5
Carignan-Grenache         ;2014;30.0
Carignan-Syrah            ;2012;80.0
Carignan-Syrah            ;2014;17.0
Carignane                 ;1999;20.0
Carignane                 ;2005;20.0
Carignane                 ;2008;22.0
Carignane                 ;2009;32.0
Carignane                 ;2010;19.0
Carignane                 ;2011;28.3333333333
Carignane                 ;2012;26.5
Carignane                 ;2013;28.875
Carignane                 ;2014;29.6
Carignane                 ;2015;28.0
Carignano                 ;2000;22.0
Carignano                 ;2003;85.0
Carignano                 ;2007;47.6666666667
Carignano                 ;2008;58.0
Carignano                 ;2010;15.0
Carignano                 ;2011;36.0
Carignano                 ;2012;21.0
Carignano                 ;2013;21.0
Carineña                 ;2004;45.0
Carineña                 ;2013;21.5
Carineña                 ;2015;11.5
Cariñena-Garnacha        ;2013;31.0
Cariñena-Garnacha        ;2014;31.0
Carmenère                ;-1;30.0
Carmenère                ;1998;12.0
Carmenère                ;1999;11.0
Carmenère                ;2000;15.75
Carmenère                ;2001;9.75
Carmenère                ;2002;9.0
Carmenère                ;2003;74.0
Carmenère                ;2005;24.1666666667
Carmenère                ;2006;15.8333333333
Carmenère                ;2007;18.925
Carmenère                ;2008;23.1777777778
Carmenère                ;2009;22.2545454545
Carmenère                ;2010;20.3164556962
Carmenère                ;2011;22.4603174603
Carmenère                ;2012;25.0
Carmenère                ;2013;23.7419354839
Carmenère                ;2014;18.4181818182
Carmenère                ;2015;19.3333333333
Carmenère                ;2016;9.3333333333
Carmenère-Cabernet Sauvig;2006;
Carmenère-Cabernet Sauvig;2007;20.0
Carmenère-Cabernet Sauvig;2009;15.0
Carmenère-Cabernet Sauvig;2010;50.0
Carmenère-Cabernet Sauvig;2011;13.0
Carmenère-Cabernet Sauvig;2013;66.0
Carmenère-Syrah          ;2007;11.0
Carmenère-Syrah          ;2008;37.0
