,variety,year,price,points,priceq,country
421,Cabernet Sauvignon,1987,170.0,89,5.0,US
422,Cabernet Sauvignon,1989,14.0,86,0.0,US
423,Cabernet Sauvignon,1990,40.0,88,4.0,US
424,Cabernet Sauvignon,1991,160.0,88,5.0,US
425,Cabernet Sauvignon,1994,82.5,88,5.0,US
426,Cabernet Sauvignon,1997,48.909836065600004,89,5.0,US
427,Cabernet Sauvignon,1997,48.909836065600004,89,5.0,Italy
428,Cabernet Sauvignon,1998,28.9423076923,86,3.0,Chile
429,Cabernet Sauvignon,1998,28.9423076923,86,3.0,US
430,Cabernet Sauvignon,1999,34.125,87,4.0,US
431,Cabernet Sauvignon,1999,34.125,87,4.0,Chile
432,Cabernet Sauvignon,2000,24.205128205100003,86,3.0,US
433,Cabernet Sauvignon,2000,24.205128205100003,86,3.0,Chile
434,Cabernet Sauvignon,2001,28.9117647059,87,3.0,Chile
435,Cabernet Sauvignon,2001,28.9117647059,87,3.0,US
436,Cabernet Sauvignon,2002,27.3333333333,87,3.0,Chile
437,Cabernet Sauvignon,2002,27.3333333333,87,3.0,Australia
438,Cabernet Sauvignon,2002,27.3333333333,87,3.0,US
439,Cabernet Sauvignon,2002,27.3333333333,87,3.0,South Africa
440,Cabernet Sauvignon,2003,45.8333333333,87,5.0,US
441,Cabernet Sauvignon,2003,45.8333333333,87,5.0,Australia
442,Cabernet Sauvignon,2003,45.8333333333,87,5.0,Spain
443,Cabernet Sauvignon,2004,53.1178861789,88,5.0,Australia
444,Cabernet Sauvignon,2004,53.1178861789,88,5.0,Italy
445,Cabernet Sauvignon,2004,53.1178861789,88,5.0,US
446,Cabernet Sauvignon,2004,53.1178861789,88,5.0,Spain
447,Cabernet Sauvignon,2004,53.1178861789,88,5.0,France
448,Cabernet Sauvignon,2004,53.1178861789,88,5.0,Argentina
449,Cabernet Sauvignon,2005,45.1921487603,88,5.0,US
450,Cabernet Sauvignon,2005,45.1921487603,88,5.0,Australia
451,Cabernet Sauvignon,2005,45.1921487603,88,5.0,Chile
452,Cabernet Sauvignon,2005,45.1921487603,88,5.0,Italy
453,Cabernet Sauvignon,2005,45.1921487603,88,5.0,South Africa
454,Cabernet Sauvignon,2005,45.1921487603,88,5.0,Greece
455,Cabernet Sauvignon,2006,42.3564547206,88,5.0,US
456,Cabernet Sauvignon,2006,42.3564547206,88,5.0,Chile
457,Cabernet Sauvignon,2006,42.3564547206,88,5.0,Australia
458,Cabernet Sauvignon,2006,42.3564547206,88,5.0,Spain
459,Cabernet Sauvignon,2006,42.3564547206,88,5.0,Argentina
460,Cabernet Sauvignon,2006,42.3564547206,88,5.0,Israel
461,Cabernet Sauvignon,2007,46.80459770109999,88,5.0,Argentina
462,Cabernet Sauvignon,2007,46.80459770109999,88,5.0,US
463,Cabernet Sauvignon,2007,46.80459770109999,88,5.0,Chile
464,Cabernet Sauvignon,2007,46.80459770109999,88,5.0,South Africa
465,Cabernet Sauvignon,2007,46.80459770109999,88,5.0,Greece
466,Cabernet Sauvignon,2007,46.80459770109999,88,5.0,Australia
467,Cabernet Sauvignon,2008,50.3803863299,88,5.0,US
468,Cabernet Sauvignon,2008,50.3803863299,88,5.0,Chile
469,Cabernet Sauvignon,2008,50.3803863299,88,5.0,Italy
470,Cabernet Sauvignon,2008,50.3803863299,88,5.0,Argentina
471,Cabernet Sauvignon,2008,50.3803863299,88,5.0,Spain
472,Cabernet Sauvignon,2008,50.3803863299,88,5.0,Turkey
473,Cabernet Sauvignon,2008,50.3803863299,88,5.0,Australia
474,Cabernet Sauvignon,2009,50.640837696300004,88,5.0,US
475,Cabernet Sauvignon,2009,50.640837696300004,88,5.0,Argentina
476,Cabernet Sauvignon,2009,50.640837696300004,88,5.0,Chile
477,Cabernet Sauvignon,2009,50.640837696300004,88,5.0,Australia
478,Cabernet Sauvignon,2009,50.640837696300004,88,5.0,Israel
479,Cabernet Sauvignon,2009,50.640837696300004,88,5.0,South Africa
480,Cabernet Sauvignon,2009,50.640837696300004,88,5.0,Italy
481,Cabernet Sauvignon,2009,50.640837696300004,88,5.0,France
482,Cabernet Sauvignon,2009,50.640837696300004,88,5.0,Romania
483,Cabernet Sauvignon,2009,50.640837696300004,88,5.0,Spain
